X_Raw,Y_Raw,Z_Raw
1906,0,1
1888,0,1
1906,0,1
1906,0,1
1900,0,1
1900,0,1
1925,0,1
1894,0,1
1900,0,1
1875,0,1
1888,0,1
1894,0,1
1906,0,1
1900,0,1
1888,0,1
1888,0,1
1900,0,1
1900,0,0
1888,0,0
1881,0,0
1894,0,0
1888,0,0
1888,0,0
1894,0,0
1881,0,0
1900,0,0
1888,0,0
1894,0,0
1894,0,0
1894,0,0
1894,0,0
1894,0,0
1900,0,0
1894,0,0
1888,0,0
1888,0,0
1900,0,0
1900,0,0
1888,0,0
1894,0,0
1894,0,0
1894,0,0
1894,0,0
1906,0,0
1894,0,0
1900,0,0
1894,0,0
1888,0,0
1894,0,0
1925,0,0
1900,0,0
1888,0,0
1888,0,0
1900,0,0
1894,0,0
1900,0,0
1894,0,0
1894,0,0
1881,0,0
1888,0,0
1900,0,0
1919,0,0
1888,0,0
1894,0,0
1900,0,0
1906,0,0
1888,0,0
1881,0,0
1894,0,0
1894,0,0
1906,0,0
1888,0,0
1894,0,0
1888,0,0
1888,0,0
1888,0,0
1894,0,0
1888,0,0
1906,0,0
1906,0,0
1906,0,0
1888,0,0
1894,0,0
1906,0,0
1888,0,0
1894,0,0
1888,0,0
1894,0,0
1888,0,0
1894,0,0
1894,0,0
1906,0,0
1888,0,0
1888,0,0
1919,0,0
1894,0,0
1888,0,0
1906,0,0
1894,0,0
1894,0,0
1888,0,0
1906,0,0
1919,0,0
1894,0,0
1888,0,0
1894,0,0
1888,0,0
1906,0,0
1875,0,0
1919,0,0
1906,0,0
1900,0,0
1894,0,0
1906,0,0
1894,0,0
1894,0,0
1906,0,0
1888,0,0
1894,0,0
1919,0,0
1906,0,0
1894,0,0
1900,0,0
1900,0,0
1888,0,0
1906,0,0
1894,0,0
1900,0,0
1894,0,0
1894,0,0
1900,0,0
1925,0,0
1900,0,0
1894,0,0
1888,0,0
1894,0,0
1888,0,0
1894,0,0
1881,0,0
1894,0,0
1900,0,0
1900,0,0
1900,0,0
1894,0,0
1900,0,0
1888,0,0
1894,0,0
1900,0,0
1906,0,0
1900,0,0
1906,0,0
1925,0,0
1881,0,0
1906,0,0
1894,0,0
1894,0,0
1900,0,0
1900,0,0
1888,0,0
1869,0,0
1888,0,0
1900,0,0
1894,0,0
1900,0,0
1894,0,0
1906,0,0
1900,0,0
1894,0,0
1900,0,0
1900,0,0
1906,0,0
1900,0,0
1906,0,0
1906,0,0
1888,0,0
1906,0,0
1919,0,0
1894,0,0
1888,0,0
1900,0,0
1906,0,0
1894,0,0
1919,0,0
1906,0,0
1919,0,0
1888,0,0
1906,0,0
1906,0,0
1919,0,0
1888,0,0
1900,0,0
1894,0,0
1900,0,0
1888,0,0
1888,0,0
1894,0,0
1894,0,0
1906,0,0
1900,0,0
1894,0,0
1894,0,0
1894,0,0
1900,0,0
1881,0,0
1906,0,0
1900,0,0
1894,0,0
1894,0,0
1881,0,0
1894,0,0
1894,0,0
1906,0,0
1919,0,0
1894,0,0
1932,0,0
1900,0,0
1888,0,0
1894,0,0
1900,0,0
1894,0,0
1900,0,0
1919,0,0
1900,0,0
1894,0,0
1894,0,0
1900,0,0
1888,0,0
1919,0,0
1925,0,0
1888,0,0
1919,0,0
1888,0,0
1900,0,0
1906,0,0
1906,0,0
1894,0,0
1900,0,0
1900,0,0
1906,0,0
1906,0,0
1906,0,0
1906,0,0
1906,0,0
1906,0,0
1906,0,0
1906,0,0
1925,0,0
1894,0,0
1906,0,0
1888,0,0
1900,0,0
1894,0,0
1900,0,0
1919,0,0
1894,0,0
1894,0,0
1888,0,0
1894,0,0
1906,0,0
1900,0,0
1894,0,0
1906,0,0
1906,0,0
1881,0,0
1894,0,0
1906,0,0
1894,0,0
1900,0,0
1906,0,0
1900,0,0
1894,0,0
1894,0,0
1894,0,0
1894,0,0
1888,0,0
1906,0,0
1894,0,0
1888,0,0
1894,0,0
1906,0,0
1919,0,0
1906,0,0
1888,0,0
1894,0,0
1906,0,0
1894,0,0
1919,0,0
1906,0,0
1900,0,0
1881,0,0
1894,0,0
1894,0,0
1919,0,0
1906,0,0
1900,0,0
1894,0,0
1906,0,0
1888,0,0
1900,0,0
1919,0,0
1900,0,0
1906,0,0
1888,0,0
1906,0,0
1906,0,0
1875,0,0
1900,0,0
1894,0,0
1906,0,0
1900,0,0
1919,0,0
1906,0,0
1894,143,0
1906,67,0
1894,26,0
1906,22,0
1906,5,0
1894,6,4
1894,7,4
1900,6,4
1906,5,4
1906,1,4
1906,2,4
1925,1,4
1881,2,4
1900,5,4
1900,5,4
1906,1,4
1900,2,4
1888,2,4
1925,0,4
1894,2,4
1894,3,4
1894,2,4
1906,0,4
1925,2,4
1906,1,4
1919,0,4
1906,1,4
1925,253,4
1925,118,4
1906,86,4
1900,69,14
1919,18,14
1925,9,14
1906,9,14
1881,11,14
1906,8,14
1888,2,14
1919,3,14
1900,3,14
1906,0,14
1906,4,14
1906,5,14
1919,3,14
1932,0,14
1919,2,14
1919,2,14
1932,1,14
1925,1,14
1925,1,14
1919,0,14
1906,0,14
1932,1,14
1906,1,14
1906,1,14
1900,1,14
1925,0,15
1888,0,15
1894,1,15
1932,0,15
1906,155,15
1894,95,15
1906,128,15
1925,22,15
1925,2,15
1888,4,15
1919,7,15
1906,12,15
1894,9,15
1906,4,15
1894,2,15
1919,2,15
1906,0,15
1919,4,15
1925,6,15
1925,4,15
1900,0,15
1906,2,15
1906,2,15
1894,0,15
1906,1,15
1919,2,14
1906,0,14
1894,0,14
1906,1,14
1894,1,14
1919,1,14
1906,128,14
1900,62,14
1894,5,14
1925,2,14
1925,2,14
1919,4,14
1894,6,14
1906,6,14
1900,3,14
1906,0,14
1894,1,14
1919,0,14
1906,2,14
1888,3,14
1932,3,14
1925,0,14
1906,1,14
1919,1,14
1919,0,14
1894,2,15
1900,2,15
1919,1,15
1919,0,15
1906,1,15
1932,1,15
1900,0,15
1906,1,15
1919,1,15
1932,0,15
1925,0,15
1906,219,15
1932,125,15
1925,73,15
1925,25,15
1919,14,15
1925,0,15
1906,5,15
1906,3,15
1925,2,15
1906,0,15
1919,1,15
1906,0,15
1906,2,15
1932,4,15
1925,3,17
1925,0,17
1906,1,17
1900,2,17
1906,0,17
1906,1,17
1919,2,17
1894,1,17
1906,0,17
1900,1,17
1906,1,17
1906,0,17
1919,0,17
1906,1,17
1900,0,17
1906,0,17
1906,0,17
1906,0,17
1919,0,17
1925,0,17
1906,486,17
1919,187,17
1906,75,17
1894,11,17
1925,2,17
1925,3,13
1900,6,13
1894,4,13
1919,3,13
1925,1,13
1919,1,13
1932,0,13
1906,1,13
1925,4,13
1906,3,13
1894,1,13
1925,1,13
1906,2,13
1906,0,13
1900,1,13
1925,2,13
1925,1,13
1919,0,13
1906,1,13
1906,1,13
1906,0,13
1906,0,13
1906,0,13
1925,0,13
1919,0,13
1906,0,14
1906,0,14
1925,0,14
1925,0,14
1906,0,14
1919,0,14
1900,0,14
1906,0,14
1894,0,14
1919,0,14
1919,0,14
1919,0,14
1906,0,14
1925,0,14
1932,0,14
1906,0,14
1919,0,14
1925,0,14
1925,0,14
1919,0,14
1900,0,14
1932,0,14
1919,0,14
1906,0,14
1938,0,14
1925,0,1
1932,0,1
1932,0,1
1919,0,1
1919,0,1
1925,0,1
1925,0,1
1951,0,1
1900,0,1
1906,0,1
1906,0,1
1919,0,1
1906,0,1
1906,0,1
1900,0,1
1925,0,1
1906,0,1
1906,0,1
1894,0,1
1894,0,1
1906,0,1
1919,0,1
1919,0,1
1900,0,1
1919,0,1
1906,0,9
1919,0,9
1906,0,9
1906,0,9
1919,0,9
1925,1,9
1888,0,9
1919,0,9
1919,0,9
1919,0,9
1919,0,9
1925,0,9
1906,0,9
1906,0,9
1925,0,9
1932,0,9
1919,0,9
1906,0,9
1919,0,9
1938,0,9
1932,0,9
1900,0,9
1906,0,9
1951,0,9
1925,0,9
1919,0,8
1919,0,8
1906,0,8
1919,0,8
1919,0,8
1906,0,8
1906,0,8
1894,0,8
1906,0,8
1944,0,8
1906,0,8
1919,0,8
1932,0,8
1938,0,8
1919,0,8
1919,0,8
1919,0,8
1925,0,8
1919,0,8
1919,0,8
1932,0,8
1932,0,8
1919,0,8
1919,0,8
1932,0,8
1919,0,1
1932,0,1
1900,0,1
1919,0,1
1919,0,1
1938,0,1
1925,0,1
1906,0,1
1906,0,1
1906,0,1
1925,0,1
1938,0,1
1919,0,1
1906,0,1
1906,0,1
1919,0,1
1932,0,1
1919,0,1
1932,0,1
1925,0,1
1906,0,1
1925,0,1
1932,0,1
1919,0,1
1919,0,1
1906,0,1
1932,0,1
1919,0,1
1919,0,1
1900,1,1
1938,0,1
1906,0,1
1919,0,1
1925,0,1
1932,0,1
1932,0,1
1932,0,1
1932,0,1
1906,0,1
1932,0,1
1932,0,1
1925,0,1
1932,0,1
1925,0,1
1919,0,1
1919,0,1
1938,0,1
1919,0,1
1925,0,1
1925,0,1
1906,0,6
1919,0,6
1938,0,6
1894,0,6
1900,0,6
1938,0,6
1925,0,6
1925,0,6
1925,0,6
1919,0,6
1932,0,6
1900,0,6
1925,0,6
1938,0,6
1906,0,6
1932,0,6
1919,0,6
1919,0,6
1900,0,6
1932,0,6
1900,0,6
1906,0,6
1906,0,6
1919,0,6
1900,0,6
1932,0,1
1900,0,1
1906,0,1
1919,0,1
1925,0,1
1919,0,1
1932,0,1
1894,0,1
1932,0,1
1919,0,1
1932,0,1
1906,0,1
1906,0,1
1925,0,1
1919,0,1
1932,0,1
1906,0,1
1919,0,1
1938,0,1
1919,0,1
1925,0,1
1919,0,1
1932,0,1
1906,0,1
1919,0,1
1925,0,7
1919,0,7
1932,0,7
1919,0,7
1925,0,7
1894,0,7
1925,1,7
1938,0,7
1906,1,7
1906,0,7
1938,0,7
1919,0,7
1919,0,7
1919,0,7
1951,0,7
1919,0,7
1919,0,7
1919,0,7
1925,0,7
1919,0,7
1919,0,7
1925,0,7
1925,0,7
1938,0,7
1906,0,7
1938,0,3
1938,0,3
1938,0,3
1919,0,3
1919,0,3
1938,0,3
1925,0,3
1932,0,3
1919,0,3
1925,0,3
1932,0,3
1925,0,3
1919,0,3
1932,0,3
1938,0,3
1906,0,3
1925,0,3
1906,0,3
1906,0,3
1944,0,3
1932,0,3
1925,0,3
1925,0,3
1906,0,3
1951,0,3
1919,0,0
1919,0,0
1925,0,0
1932,0,0
1919,0,0
1919,0,0
1894,0,0
1925,0,0
1944,0,0
1932,0,0
1932,0,0
1925,0,0
1919,0,0
1944,0,0
1944,0,0
1919,0,0
1938,0,0
1932,0,0
1925,0,0
1938,0,0
1919,0,0
1919,0,0
1932,0,0
1932,0,0
1919,0,0
1932,0,1
1938,0,1
1919,0,1
1925,0,1
1963,0,1
1932,0,1
1938,0,1
1944,0,1
1938,0,1
1925,0,1
1919,0,1
1932,0,1
1925,0,1
1919,0,1
1932,0,1
1919,0,1
1906,0,1
1925,0,1
1925,0,1
1925,0,1
1951,0,1
1919,0,1
1906,0,1
1938,0,1
1944,0,1
1919,0,7
1925,0,7
1919,0,7
1944,0,7
1925,0,7
1932,0,7
1906,0,7
1932,0,7
1951,0,7
1925,0,7
1919,0,7
1919,0,7
1932,0,7
1919,0,7
1906,0,7
1925,0,7
1938,0,7
1938,0,7
1919,0,7
1919,0,7
1919,0,7
1932,0,7
1925,0,7
1938,0,7
1925,0,7
1951,0,3
1938,0,3
1932,0,3
1944,0,3
1951,0,3
1919,0,3
1932,0,3
1932,0,3
1925,0,3
1938,0,3
1938,0,3
1925,0,3
1919,0,3
1925,0,3
1925,0,3
1906,0,3
1925,0,3
1925,0,3
1925,0,3
1919,0,3
1925,0,3
1932,0,3
1938,0,3
1944,0,3
1944,0,3
1951,0,0
1938,0,0
1925,0,0
1932,0,0
1919,0,0
1906,0,0
1932,0,0
1900,0,0
1932,0,0
1925,0,0
1938,0,0
1919,0,0
1951,0,0
1932,0,0
1938,0,0
1932,0,0
1944,0,0
1938,0,0
1951,0,0
1919,0,0
1919,0,0
1932,0,0
1925,0,0
1925,0,0
1925,0,0
1951,0,3
1919,0,3
1925,0,3
1906,0,3
1919,0,3
1932,0,3
1925,0,3
1932,0,3
1919,0,3
1944,0,3
1925,0,3
1906,0,3
1932,0,3
1944,0,3
1938,0,3
1919,0,3
1906,0,3
1932,0,3
1951,0,3
1932,0,3
1919,0,3
1925,0,3
1938,0,3
1919,0,3
1944,0,3
1919,0,3
1932,0,3
1925,0,3
1944,0,3
1919,0,3
1932,0,3
1919,0,3
1932,0,3
1906,0,3
1944,0,3
1944,0,3
1938,0,3
1951,0,3
1938,0,3
1932,0,3
1938,0,3
1919,0,3
1925,0,3
1938,0,3
1938,0,3
1932,0,3
1919,0,3
1932,0,3
1932,0,3
1919,0,3
1919,0,9
1925,0,9
1919,0,9
1938,0,9
1932,0,9
1919,0,9
1932,0,9
1944,0,9
1925,0,9
1932,0,9
1925,0,9
1919,0,9
1919,0,9
1944,0,9
1906,0,9
1938,0,9
1938,0,9
1925,0,9
1932,0,9
1932,0,9
1932,0,9
1938,0,9
1925,0,9
1919,0,9
1932,0,9
1938,0,4
1938,0,4
1944,0,4
1938,0,4
1938,0,4
1932,0,4
1951,0,4
1938,0,4
1925,0,4
1938,0,4
1938,0,4
1938,0,4
1944,0,4
1938,0,4
1925,0,4
1925,0,4
1951,0,4
1919,0,4
1932,0,4
1932,0,4
1919,0,4
1938,0,4
1932,0,4
1944,0,4
1938,0,4
1938,0,0
1925,0,0
1951,0,0
1919,0,0
1951,0,0
1932,0,0
1938,0,0
1938,0,0
1925,0,0
1919,0,0
1925,0,0
1925,0,0
1932,0,0
1932,0,0
1944,0,0
1976,0,0
1944,0,0
1944,0,0
1938,0,0
1938,0,0
1894,0,0
1944,0,0
1932,0,0
1925,0,0
1932,0,0
1938,0,0
1919,0,0
1925,0,0
1925,0,0
1932,0,0
1944,0,0
1932,0,0
1906,0,0
1932,0,0
1932,0,0
1938,0,0
1932,0,0
1951,0,0
1919,0,0
1932,0,0
1932,0,0
1919,0,0
1944,0,0
1894,0,0
1925,0,0
1944,0,0
1944,0,0
1932,0,0
1951,0,0
1919,0,0
1932,0,0
1944,0,0
1944,0,0
1932,0,0
1944,0,0
1944,0,0
1925,0,0
1932,0,0
1938,0,0
1925,0,0
1938,0,0
1925,0,0
1963,0,0
1951,0,0
1932,0,0
1932,0,0
1951,0,0
1900,0,0
1951,0,0
1944,0,0
1919,0,0
1932,0,0
1919,0,0
1919,0,0
1938,0,0
1932,0,0
1919,0,0
1938,0,0
1925,0,0
1925,0,0
1938,0,0
1938,0,0
1938,0,0
1925,0,0
1938,0,0
1925,0,0
1932,0,0
1951,0,0
1932,0,0
1919,0,0
1944,0,0
1938,0,0
1919,0,0
1951,0,0
1951,0,0
1944,0,0
1938,0,0
1951,0,0
1951,0,0
1932,0,0
1938,0,0
1919,0,0
1925,0,0
1951,0,0
1938,0,0
1938,0,0
1951,0,0
1925,0,0
1951,0,0
1938,0,0
1938,0,0
1963,0,0
1925,0,0
1938,0,0
1938,0,0
1932,0,0
1963,0,0
1938,0,0
1925,0,0
1938,0,0
1944,0,0
1932,0,0
1938,0,0
1932,0,0
1944,0,0
1938,0,0
1951,0,0
1951,0,0
1951,0,0
1925,0,0
1951,0,0
1938,0,0
1925,0,0
1951,0,0
1944,0,0
1944,0,0
1963,1,0
1938,0,0
1951,0,0
1951,0,0
1963,0,0
1944,0,0
1951,0,0
1932,0,0
1925,0,0
1932,0,0
1938,0,0
1925,0,0
1963,0,0
1925,0,0
1925,0,1
1944,0,1
1938,0,1
1963,0,1
1919,0,1
1919,0,1
1919,0,1
1925,0,1
1925,0,1
1963,0,1
1938,0,1
1951,0,1
1944,0,1
1938,0,1
1944,0,1
1944,0,1
1919,0,1
1932,0,1
1951,0,1
1944,0,1
1951,0,1
1951,0,1
1951,0,1
1938,0,1
1919,0,1
1932,0,2
1944,0,2
1963,0,2
1925,0,2
1938,0,2
1951,0,2
1944,0,2
1963,0,2
1932,0,2
1938,0,2
1938,0,2
1951,0,2
1944,0,2
1938,0,2
1970,0,2
1944,0,2
1925,0,2
1951,0,2
1919,0,2
1944,0,2
1925,0,2
1932,0,2
1932,0,2
1944,0,2
1925,0,2
1963,0,0
1938,0,0
1932,0,0
1938,0,0
1951,0,0
1932,0,0
1951,0,0
1944,0,0
1944,0,0
1932,0,0
1932,0,0
1963,0,0
1951,0,0
1932,0,0
1963,0,0
1938,0,0
1932,0,0
1951,0,0
1919,0,0
1938,0,0
1944,0,0
1938,0,0
1963,0,0
1925,0,0
1938,0,0
1938,0,0
1938,0,0
1938,0,0
1963,0,0
1919,0,0
1938,0,0
1932,0,0
1944,0,0
1932,0,0
1925,0,0
1951,0,0
1951,0,0
1944,0,0
1932,0,0
1951,0,0
1932,0,0
1938,0,0
1951,0,0
1944,0,0
1938,0,0
1938,0,0
1970,0,0
1932,0,0
1932,0,0
1944,0,0
1951,0,0
1951,0,0
1938,0,0
1932,0,0
1938,0,0
1963,0,0
1963,0,0
1951,0,0
1932,0,0
1938,0,0
1944,0,0
1944,0,0
1925,0,0
1970,0,0
1938,0,0
1951,0,0
1938,0,0
1938,0,0
1963,0,0
1938,0,0
1963,0,0
1951,0,0
1932,0,0
1951,0,0
1938,0,0
1951,0,2
1919,0,2
1932,0,2
1925,0,2
1951,0,2
1938,0,2
1963,0,2
1938,0,2
1944,0,2
1963,0,2
1951,0,2
1951,0,2
1919,0,2
1951,0,2
1938,0,2
1925,0,2
1925,0,2
1951,0,2
1932,0,2
1932,0,2
1932,0,2
1938,0,2
1925,0,2
1938,0,2
1951,0,2
1951,0,0
1951,0,0
1951,0,0
1951,0,0
1919,0,0
1951,0,0
1963,0,0
1938,0,0
1951,0,0
1944,0,0
1951,0,0
1951,0,0
1944,0,0
1951,0,0
1963,0,0
1919,0,0
1938,0,0
1963,0,0
1938,0,0
1938,0,0
1970,0,0
1976,0,0
1951,0,0
1951,0,0
1944,0,0
1963,0,3
1951,0,3
1919,0,3
1976,0,3
1932,0,3
1932,0,3
1932,0,3
1932,0,3
1919,0,3
1951,0,3
1951,0,3
1938,0,3
1944,0,3
1944,0,3
1951,0,3
1932,0,3
1944,0,3
1951,0,3
1938,0,3
1944,0,3
1938,0,3
1963,0,3
1970,0,3
1944,0,3
1932,0,3
1925,0,3
1938,0,3
1944,0,3
1944,0,3
1932,0,3
1963,0,3
1919,0,3
1951,0,3
1932,0,3
1944,0,3
1944,0,3
1963,0,3
1976,0,3
1938,0,3
1963,0,3
1951,0,3
1951,0,3
1938,0,3
1944,0,3
1944,0,3
1938,0,3
1932,0,3
1938,0,3
1951,0,3
1938,0,3
1951,0,1
1938,0,1
1938,0,1
1944,0,1
1938,0,1
1925,0,1
1919,0,1
1925,0,1
1963,0,1
1944,0,1
1951,0,1
1932,0,1
1963,0,1
1944,0,1
1963,0,1
1938,0,1
1963,0,1
1963,0,1
1951,0,1
1938,0,1
1944,0,1
1963,0,1
1932,0,1
1944,0,1
1938,0,1
1919,0,1
1932,0,1
1951,0,1
1938,0,1
1951,0,1
1944,0,1
1944,0,1
1944,0,1
1932,0,1
1963,0,1
1944,0,1
1944,0,1
1932,0,1
1944,0,1
1944,1,1
1951,1,1
1951,0,1
1951,0,1
1938,0,1
1938,0,1
1932,0,1
1932,0,1
1951,0,1
1938,0,1
1951,0,1
1944,0,7
1944,0,7
1938,0,7
1951,0,7
1951,0,7
1944,0,7
1938,0,7
1944,0,7
1951,0,7
1951,0,7
1944,0,7
1976,0,7
1976,0,7
1938,0,7
1944,0,7
1963,0,7
1951,0,7
1951,0,7
1963,0,7
1938,0,7
1944,0,7
1925,0,7
1963,0,7
1919,0,7
1944,0,7
1932,0,1
1932,0,1
1963,0,1
1951,0,1
1944,0,1
1976,0,1
1944,0,1
1963,0,1
1938,0,1
1951,0,1
1963,0,1
1944,0,1
1951,0,1
1963,0,1
1938,0,1
1951,0,1
1951,0,1
1951,0,1
1963,0,1
1944,0,1
1951,0,1
1970,0,1
1938,0,1
1932,0,1
1944,0,1
1919,0,0
1963,0,0
1938,0,0
1944,0,0
1944,0,0
1944,0,0
1938,0,0
1951,0,0
1938,0,0
1951,0,0
1944,0,0
1976,0,0
1951,0,0
